Manufacturing,construction_manufacturing,#A65628,CNS01,CNS02,CNS04,CNS05
Retail & Wholesale,trade,#E41A1C,CNS06,CNS07,,
Utilities,transport_utilities,#FFFF33,CNS08,CNS03,,
Information services,information,#46DFD3 ,CNS09,,,
Finance,finance,#00AA0E,CNS10,CNS11,,
Professional services,professional,#A6CEE3,CNS12,CNS13,CNS14,
Education,education,#6A3D9A,CNS15,,,
Health care,health,#286FAA,CNS16,,,
Accomodation,leisure_hospitality,#FB9A99,CNS17,CNS18,CNS19,
Public administration,public_admin,# FF7F00,CNS20,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
